Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-my-ig.json	4680	-	0	0	0	0	0	0	7	139	0	0	0	0	0	0	0	1	0	0	198	87	0	0	1	3	0	0
fsh-generated/resources/StructureDefinition-AD.json	724	15	0	0	1	1	0	23	0	58	0	0	1	0	0	0	0	3	0	0	55	1673	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-BL.json	797	12	0	0	0	0	0	27	0	22	0	0	0	0	0	0	0	0	0	0	54	316	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-CD.json	1019	61	0	0	0	0	0	25	0	24	0	0	0	0	0	0	0	0	0	0	51	282	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Class.json	752	12	0	0	0	0	0	35	0	25	0	0	0	0	0	0	0	0	0	0	56	267	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DT.json	908	12	1	0	0	0	0	32	0	21	0	0	0	0	0	0	0	0	0	0	51	328	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ED.json	963	13	0	0	0	0	0	26	0	22	0	0	0	0	0	0	0	0	0	0	45	190	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-II.json	1188	12	0	0	0	0	0	30	0	21	0	0	0	0	0	0	0	0	0	0	48	172	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-InvestigationalMedicinalProduct.json	650972	880	0	0	0	0	0	4151	0	4613	0	0	5	0	0	0	0	14	0	0	10862	14228	0	1	0	227	1	7
fsh-generated/resources/StructureDefinition-MedicinalProduct.json	825307	961	0	0	0	0	0	4810	0	5281	0	0	3	0	0	0	0	19	0	0	12792	11413	0	2	0	266	3	10
fsh-generated/resources/StructureDefinition-PN.json	776	12	0	0	0	0	0	27	0	21	0	0	0	0	0	0	0	0	0	0	45	79	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-PQ.json	780	12	0	0	0	0	0	24	0	20	0	0	0	0	0	0	0	0	0	0	36	71	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-RTO.json	772	12	1	0	0	0	0	24	0	20	0	0	0	0	0	0	0	0	0	0	40	72	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ST.json	730	11	0	0	0	0	0	23	0	23	0	0	0	0	0	0	0	0	0	0	37	73	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-TEL.json	740	5	0	0	0	0	0	26	0	18	0	0	0	0	0	0	0	0	0	0	40	97	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-TS.json	980	4	0	0	0	0	0	26	0	19	0	0	0	0	0	0	0	0	0	0	41	98	0	0	0	1	0	0
